1989-07-01;1.dan;11077
1991-06-11;3.kyu;10796
1993-05-25;2.kyu;10796
1994-01-22;2.dan;11077
1994-11-17;5.kyu;11094
1994-11-24;4.kyu;11094
1995-05-30;1.kyu;10796
1995-05-30;3.kyu;11094
1995-12-12;10.mon;2736
1995-12-12;9.mon;2736
1996-06-04;2.kyu;11094
1996-06-04;8.mon;2736
1996-06-04;10.mon;3180
1996-12-10;7.mon;2736
1996-12-10;9.mon;3180
1996-12-10;8.mon;3180
1996-12-13;10.mon;0
1996-12-13;9.mon;0
1997-06-03;5.kyu;11074
1997-06-03;1.kyu;11094
1997-06-03;5.kyu;11073
1997-06-03;5.kyu;10794
1997-06-03;5.kyu;3213
1997-06-03;5.kyu;20204
1997-06-03;6.mon;2736
1997-06-03;7.mon;3180
1997-06-03;8.mon;0
1997-06-06;10.mon;0
1997-06-06;9.mon;0
1997-06-06;10.mon;2736
1997-06-06;9.mon;2736
1997-07-03;1.dan;10796
1997-12-11;4.kyu;11074
1997-12-11;4.kyu;11073
1997-12-11;4.kyu;10794
1997-12-11;4.kyu;3213
1997-12-11;4.kyu;20204
1997-12-13;8.mon;0
1997-12-13;5.mon;2736
1997-12-13;6.mon;3180
1997-12-13;7.mon;0
1997-12-13;10.mon;0
1997-12-13;10.mon;2737
1998-01-15;8.mon;2736
1998-01-15;7.mon;2736
1998-05-28;3.kyu;11074
1998-05-28;3.kyu;11073
1998-05-28;7.mon;0
1998-05-28;6.mon;0
1998-05-28;5.kyu;0
1998-05-28;4.mon;2736
1998-05-28;6.mon;2736
1998-05-28;5.mon;3180
1998-05-28;6.mon;0
1998-05-28;9.mon;0
1998-05-28;8.mon;0
1998-05-28;9.mon;2737
1998-05-28;8.mon;2737
1998-12-10;3.kyu;10794
1998-12-10;5.kyu;0
1998-12-10;4.kyu;0
1998-12-10;5.kyu;0
1998-12-10;3.kyu;20204
1998-12-10;4.kyu;0
1998-12-10;5.kyu;0
1998-12-10;5.mon;2736
1998-12-10;4.mon;3180
1998-12-10;5.mon;0
1998-12-10;7.mon;0
1998-12-10;7.mon;2737
1999-03-02;3.kyu;3213
1999-06-03;4.kyu;0
1999-06-03;4.kyu;0
1999-06-03;3.mon;2736
1999-06-03;4.mon;2736
1999-06-03;3.mon;3180
1999-06-03;4.mon;0
1999-06-03;6.mon;0
1999-06-03;6.mon;2737
1999-07-03;1.dan;11094
1999-12-09;2.kyu;11074
1999-12-09;2.kyu;11073
1999-12-09;2.kyu;10794
1999-12-09;3.kyu;0
1999-12-09;3.kyu;0
1999-12-09;5.kyu;2735
1999-12-09;5.kyu;0
2000-01-27;5.kyu;0
2000-06-08;2.mon;2736
2000-06-08;3.mon;2736
2000-06-08;2.mon;3180
2000-06-08;3.mon;0
2000-06-08;5.mon;0
2000-06-08;5.mon;2737
2000-06-12;3.kyu;0
2000-06-12;3.kyu;0
2000-06-12;5.kyu;2736
2000-06-12;5.kyu;2736
2000-06-12;5.kyu;3180
2000-06-13;2.kyu;3213
2000-06-13;2.kyu;20204
2000-06-13;5.kyu;0
2000-06-13;4.kyu;2735
2000-06-13;4.kyu;2736
2000-06-13;4.kyu;2736
2000-06-13;4.kyu;3180
2000-06-13;5.kyu;0
2000-06-15;5.kyu;0
2000-07-08;1.dan;0
2000-12-05;4.mon;0
2000-12-05;4.mon;2737
2000-12-05;9.mon;0
2000-12-06;4.kyu;0
2000-12-06;5.kyu;0
2000-12-07;4.kyu;0
2000-12-07;3.kyu;2735
2000-12-07;4.kyu;0
2000-12-07;4.kyu;0
2000-12-07;3.kyu;0
2000-12-07;4.kyu;0
2001-03-17;3.dan;11077
2001-03-18;2.dan;10796
2001-03-18;2.dan;11094
2002-02-26;1.kyu;11074
2002-02-26;1.kyu;11073
2002-09-01;Us;0
2002-09-01;Us;11972
2002-09-01;Us;0
2002-09-01;Us;0
2002-09-01;Us;0
2002-09-01;Us;0
2002-09-01;Uj;2750
2002-09-01;Uj;30382
2002-09-01;Uj;2749
2002-09-01;Uj;0
2002-09-01;Uj;0
2002-09-01;Uj;0
2002-09-01;Uj;2748
2002-09-01;Us;0
2002-09-01;Uj;0
2002-09-01;1.dan;2752
2002-09-01;Uj;2751
2002-09-01;Us;0
2005-01-01;3.kyu;3380
2005-12-06;2.kyu;19567
